Run Name,Camera,OpenVINS Camera,IMU,IMU Integrator,Application,Reprojection,Playback,Encoding
materials-jetsonlp,1896.7385599999998,23573.711840000007,219.22262400000162,3557.571007999972,4032.4234239999937,1458.952863999997,6728.302335999996,2504.5224320000025
demo-desktop,168.35089600000015,7983.744599999996,41.780277000000225,570.6512269999996,3458.9232669999933,1744.7686070000007,1283.6819510000016,836.683203
materials-desktop,179.0516750000001,6695.989229000006,35.63288600000016,476.6836900000019,6604.408687999976,1632.6699990000009,1143.708106000001,732.7145279999993
demo-jetsonhp,695.3297920000009,14479.289695999993,131.23609600000202,1303.7248319999935,4897.323840000008,1487.2325759999953,2990.2819840000025,1109.9931840000013
demo-jetsonlp,1281.4306560000014,23124.209823999987,192.01561599999894,4647.726944000003,5028.895648000012,1739.2412800000031,6250.399232000004,2301.7395840000004
sponza-jetsonhp,2280.3993919999984,15311.561407999998,130.1970239999982,1280.3527360000064,10257.597856000002,864.0681920000013,3270.3539519999945,1237.5488959999986
sponza-desktop,246.4556229999996,6854.678495000014,36.6725299999998,512.6739210000015,11467.645436999986,1641.9370160000005,1230.7432120000005,796.4342359999985
platformer-desktop,153.46931100000023,6728.839395999973,35.96748799999988,497.3921120000017,6622.440544999981,1549.5164940000002,1164.0484419999993,746.9467570000012
platformer-jetsonlp,1377.2827839999984,22276.859327999962,198.28454399999976,3705.974367999996,10721.647488000002,1780.4982399999965,6144.221471999989,2261.7319039999966
platformer-jetsonhp,858.2325760000006,14089.574816000008,122.26131200000137,1194.278335999997,7173.505823999989,1434.3545599999952,2966.470528000004,1090.624480000001
materials-jetsonhp,1185.2271040000016,12981.27520000001,124.13475200000082,1154.761504000007,2755.939936000003,1151.8684159999978,2780.9365119999984,1050.952383999999
sponza-jetsonlp,2856.211007999999,25707.34614400002,223.45180799999503,4125.824992000008,10211.314560000017,1215.210752000002,6985.545183999996,2631.0863359999976
