Run Name,app_gpu1,app_gpu2,Hologram,Reprojection
materials-jetsonlp,345.2303680000001,9436.916768,17779.920000000002,1516.9654400000027
demo-desktop,103.55417600000004,294.94169600000026,16059.728200000018,4042.1961020000012
materials-desktop,4413.352703999998,3274.1527359999977,13960.358999999997,210.86464000000015
demo-jetsonhp,120.57599999999938,2071.471039999997,17115.779,1184.7035199999996
demo-jetsonlp,182.88371199999986,6047.631839999997,22847.39,2128.5611520000016
sponza-jetsonhp,15.371264000000007,16909.997056,24842.404000000002,1427.7621439999998
sponza-desktop,4908.834431999997,379.79235200000034,14870.920500000007,233.48800000000008
platformer-desktop,4908.834431999997,379.79235200000034,14870.920500000007,233.48800000000008
platformer-jetsonlp,583.7699839999999,3399.935199999998,19999.690000000002,1670.193344
platformer-jetsonhp,1481.1658240000004,3224.7019520000013,17791.466,1227.2261119999994
materials-jetsonhp,1308.3095040000005,10686.984192,22152.067,1428.1779519999998
sponza-jetsonlp,583.7699839999999,3399.935199999998,19999.690000000002,1670.193344
