Components,materials-jetsonlp,demo-desktop,materials-desktop,demo-jetsonhp,demo-jetsonlp,sponza-jetsonhp,sponza-desktop,platformer-desktop,platformer-jetsonlp,platformer-jetsonhp,materials-jetsonhp,sponza-jetsonlp
Camera,14.669601821252227,14.976396011503335,14.977256016760155,14.830585535169027,14.432770869587078,14.874248742732464,14.975872255674496,14.974518322398,14.466527436407944,14.872369325763135,14.985681781020245,14.208231091047757
OpenVINS Camera,14.590364525780151,14.97673352146169,14.97596687444827,14.880919111383768,14.451023990754253,14.83402110283286,14.976853156440056,14.976012748648142,14.544267132268509,14.924448799070145,14.960461148905244,14.251015604114647
IMU,452.0706989445197,481.4946956186304,481.6789914134373,473.14443279817755,446.8106047840128,468.5829719049859,481.47820632507035,481.593021396322,449.59616201114807,471.7248440818775,470.9028704918081,453.47768343995705
IMU Integrator,442.9205625721158,481.0558288336854,481.4661990576112,470.13504531270036,433.9512888675891,465.3053698667422,481.3012084444515,481.2257098821417,438.9914946521048,468.2477873298579,468.0755186251227,444.03071365915196
Application,10.293242222501375,118.1349428890978,95.31300541044044,72.70957976777498,31.925914511227678,9.164145842403052,77.55355027675974,115.93217842642011,16.875015169173707,30.732191945017036,18.078862941844008,7.840566521549089
Reprojection,51.19735972868971,119.85493100936787,118.65162129882168,125.85833593009755,71.11649070676229,55.13090577144945,119.10338604994782,119.64464277177234,71.41648123779133,118.06038390819184,97.02523960133851,41.42078958952977
Playback,51.03343551941101,49.74298217165874,50.733012774431366,50.68952511593556,51.526413691120105,52.39339099586139,52.47343183413422,50.42736550189065,52.12653063544166,53.71847740191772,50.88688662573105,51.76649190145698
Encoding,51.04813233279644,49.748832365419744,50.73981230294544,50.696501195304606,51.54315189423814,52.40491958089337,52.480132620316105,50.4338781862908,52.14883980598035,53.73064410956042,50.893878076390735,51.78804008426056
