Components,metrics-jetsonlp-platformer,metrics-jetsonhp-platformer,metrics-desktop-platformer
OpenVINS Camera,147.31676829944956,68.45599410669975,66.776306640625
OpenVINS IMU,4.854136573020928,2.1668347065451883,2.0759399051836054
Playback,18.257207362288135,20.066801461985193,21.000088829845016
Encoding,18.242812572779048,20.062919310276975,20.9999934933553
Hologram,5155.9652099609375,449.39322620738636,17.974312149690004
imu_integrator iter,5.208284760852967,2.185494970659645,2.0782716526511344
Reprojection,31.13695453600285,17.751217420271587,17.847969070343563
Camera,75.60206377472863,68.29744353117766,66.77283469460227
IMU,2.4156463126160204,2.166807652395091,2.0758874784853703
Application,228.20976391173247,156.21213312922296,27.741824312475813
