Components,metrics-desktop-sponza
SLAM,66.77357611464056
OpenVINS IMU,2.0751717149613294
Playback,19.76458953293442
Encoding,19.76189847158945
Integrator,2.0772273372480274
Reprojection,8.394479182609361
Camera,66.77322218153212
IMU,2.0761907218665767
Application,13.275486791348822
