Components,metrics-desktop-materials
SLAM,66.77873056942654
OpenVINS IMU,2.079103605193219
Playback,19.85428933360826
Encoding,19.851702111207846
Integrator,2.0822023616059964
Reprojection,8.405171720741485
Camera,66.73655385502049
IMU,2.0802889567098877
Application,9.799974910730532
