Components,metrics-desktop-demo
SLAM,66.77716001530284
OpenVINS IMU,2.090612266692955
Playback,19.854877722309364
Encoding,19.852352657833613
Integrator,2.0970705069747626
Reprojection,8.354697626572126
Camera,66.77502837738433
IMU,2.0917649174752664
Application,8.552815176353295
