Run Name,app_gpu1,app_gpu2,Reprojection
metrics-desktop-sponza,0.0,0.0,0.0
metrics-desktop-materials,0.0,0.0,0.0
metrics-desktop-platformer,0.0,0.0,0.0
metrics-desktop-demo,0.0,0.0,0.0
