Run Name,OpenVINS Camera,OpenVINS IMU,Playback,Encoding,Hologram,imu_integrator iter,Reprojection,Camera,IMU,Application
metrics-jetsonlp-sponza,43271.21007999995,524.6869760000418,26169.398335999995,10439.904192,98.05148800000006,27402.602079999917,11331.179007999972,1243.511199999998,546.8292160000033,18552.928192000018
metrics-jetsonhp-sponza,25197.291551999988,538.6883839999647,4891.3381119999995,2367.9529919999945,239.8069439999972,2547.0487040000035,5820.041663999998,518.096191999997,274.92867199999404,19527.979008
metrics-desktop-sponza,6979.941460999993,102.90112799999699,1307.4201030000008,825.7043410000003,3431.344521999994,572.754437999997,3225.6101569999964,1024.0600589999992,43.31699700000117,15186.496171999985
metrics-jetsonlp-materials,36545.470400000006,143.17852799995944,17711.175839999985,7130.662304000003,80.35401600000012,22004.97056000002,6902.272863999988,830.8100159999982,363.56751999999403,10300.402912000003
metrics-jetsonhp-materials,20474.85449600002,393.7535679999065,4084.383136,2224.9702720000055,245.40537600000062,1756.1987839999986,3609.4303040000113,449.9115840000009,243.41849599999588,14432.19574400001
metrics-desktop-materials,4355.189809000004,27.85290699999888,766.9453060000009,508.6896819999993,1216.7633829999975,336.1244980000023,1191.4595279999996,340.0372029999992,25.525258000000118,8787.762702999995
metrics-jetsonlp-platformer,36191.307359999984,200.48425600001923,19025.726463999992,7686.186143999988,88.0326399999999,19654.445599999966,4766.425632000008,827.2757119999967,380.35391999999433,14095.816287999975
metrics-jetsonhp-platformer,20583.460512000038,394.63568000002607,4113.536319999998,1856.6394240000027,259.749248000001,1908.157183999998,4113.30761599999,435.27785600000004,242.45536000000243,15723.168735999994
metrics-desktop-platformer,5788.809698000011,51.68364900000221,1047.3871620000016,670.6346300000008,1458.0412860000026,448.34179799999845,1785.3158059999998,539.7194529999986,35.24721099999997,12494.963418999992
metrics-jetsonlp-demo,35332.992288,201.51081599996104,24903.67222399996,10062.137952000016,95.97020799999927,29975.20630400001,10597.632127999997,1137.6844799999974,490.1508480000118,12308.564127999995
metrics-jetsonhp-demo,17658.565727999965,175.3370240000321,3225.6732800000063,1483.3532479999992,196.41676799999993,1550.616320000008,2417.7963520000067,340.66444799999954,179.17119999999682,13316.692704000008
metrics-desktop-demo,6920.573755999983,75.01260299999402,1243.893088999999,795.4724739999989,1690.6228490000026,547.2780080000026,2047.1459140000002,706.2607519999999,41.431756999999756,8713.246988
