#{"version": "3.2", "pandas_kwargs": {"dtype": {"comment": "str"}, "keep_default_na": false, "index_col": [0, 1], "comment": "#"}}
thread_id,frame_id,function_id,caller_frame_id,cpu_time_start,cpu_time,wall_time_start,wall_time,function_name,comment
0,1,1,0,2533879,229112,496860859650429,229113,Grider_FAST::perform_griding_worker,
0,2,1,0,2765629,118669,496860859881627,118892,,
0,3,1,0,2885976,764438,496860860001970,765650,,
0,4,1,0,3653137,695506,496860860769201,695662,,
0,5,1,0,4350774,856399,496860861466793,970867,,
0,6,1,0,5210081,481846,496860862440181,482108,,
0,7,1,0,12386739,135817,496860874352594,135788,,
0,8,1,0,12524112,545197,496860874489807,545542,,
0,9,1,0,13071941,721586,496860875037936,727041,,
0,10,1,0,13795098,855816,496860875766410,855947,,
0,11,1,0,38844509,130457,496861001804231,129993,,
0,12,1,0,38977125,120114,496861001936170,120282,,
0,13,1,0,39099684,526635,496861002058713,526937,,
0,14,1,0,39628023,758548,496861002587090,758784,,
0,15,1,0,40388141,441023,496861003347227,441322,,
0,16,1,0,40830844,844738,496861003789923,845109,,
0,17,1,0,41678058,809694,496861004637154,7296726,,
0,18,1,0,54165759,121119,496861042787735,121178,,
0,19,1,0,54288843,103319,496861042910543,114615,,
0,20,1,0,54393763,513692,496861043026621,514049,,
0,21,1,0,54910516,677498,496861043543424,686433,,
0,22,1,0,55589864,713302,496861044231531,713501,,
0,23,1,0,59912596,328642,496861063313131,328654,,
0,24,1,0,60243182,540607,496861063643540,540919,,
0,25,1,0,60785867,856294,496861064186217,865884,,
0,26,1,0,61643970,490135,496861065053641,515441,,
0,27,1,0,73139915,122356,496861139110587,122339,,
0,28,1,0,73264225,527202,496861139234581,527575,,
0,29,1,0,73794566,410470,496861139765889,409634,,
0,30,1,0,74206415,771437,496861140176785,771774,,
0,31,1,0,75057307,545110,496861141839996,545367,,
0,32,1,0,75607192,307563,496861142388777,309362,,
0,33,1,0,75920920,617297,496861142702552,618762,,
0,34,1,0,97638651,702006,496861184283990,780296,,
0,35,1,0,98343893,884258,496861185066601,896844,,
0,36,1,0,99230983,535564,496861185965955,535882,,
0,37,1,0,100165528,114422,496861187579078,114556,,
0,38,1,0,100281715,120620,496861187695119,131151,,
0,39,1,0,100404226,368684,496861187828041,369120,,
0,40,1,0,100774805,547985,496861188198508,551322,,
0,41,1,0,101331818,317204,496861188755641,355631,,
0,42,1,0,101662253,378395,496861189119517,381102,,
0,43,1,0,102047036,699255,496861189504709,707258,,
0,44,1,0,102768187,733582,496861190226571,736710,,
0,45,1,0,115156263,136146,496861271498695,136047,,
0,46,1,0,115294332,59480,496861271636400,59578,,
0,47,1,0,115355384,716194,496861271697427,716476,,
0,48,1,0,116073593,415096,496861272415655,415284,,
0,49,1,0,116491404,823789,496861272833500,824019,,
0,50,1,0,117317007,466179,496861273659099,466200,,
0,51,1,0,119386588,112840,496861275771361,113171,,
0,52,1,0,119501972,86024,496861275886530,86500,,
0,53,1,0,119590508,452709,496861275975185,454085,,
0,54,1,0,120047646,616436,496861276432164,618193,,
