#{"version": "3.2", "pandas_kwargs": {"dtype": {"comment": "str"}, "keep_default_na": false, "index_col": [0, 1], "comment": "#"}}
thread_id,frame_id,function_id,caller_frame_id,cpu_time_start,cpu_time,wall_time_start,wall_time,function_name,comment
0,1,1,0,366223,12646573,496863078239005,50060247,_p_one_iteration,5
0,2,1,0,13066885,403615,496863128351408,18006098,,5
0,3,1,0,13477088,587619,496863146363473,17306779,,5
0,4,1,0,14071587,624400,496863163676722,17344178,,5
0,5,1,0,14761371,578704,496863181084499,17297088,,5
0,6,1,0,15344445,955815,496863198385138,18002323,,5
0,7,1,0,16306780,340412,496863216393199,17059744,,5
0,8,1,0,16654391,423368,496863233459418,17146174,,5
0,9,1,0,17084066,1115865,496863250611417,17974018,,5
0,10,1,0,18223450,1137330,496863268607051,17866403,,5
0,11,1,0,19367893,560169,496863286479659,17278712,,5
0,12,1,0,19934316,877298,496863303764246,17608847,,5
0,13,1,0,20820974,571732,496863321380612,17288213,,5
0,14,1,0,21397947,819905,496863338673324,17549495,,5
0,15,1,0,22264668,305563,496863356260693,17023020,,5
0,16,1,0,22576123,317401,496863373288770,17081929,,5
0,17,1,0,22899782,1592554,496863390376469,18320762,,5
0,18,1,0,24518662,392468,496863408719574,17108630,,5
0,19,1,0,24917876,341993,496863425834218,17121040,,5
0,20,1,0,25264952,352427,496863442959804,17071087,,5
0,21,1,0,25633852,355050,496863460046912,19247737,,5
0,22,1,0,25994820,3351309,496863479300000,36032915,,5
0,23,1,0,29355262,1019262,496863515341583,17755035,,5
0,24,1,0,30392504,571615,496863533112394,1676595,,5
0,25,1,0,30981570,1350591,496863534803921,19284106,,5
0,26,1,0,32345673,634031,496863554099230,15782443,,5
0,27,1,0,32997397,448234,496863569896659,15956667,,5
0,28,1,0,33453913,1162514,496863585860772,16164138,,5
0,29,1,0,34643411,3865094,496863602051039,52776098,,5
0,30,1,0,38550409,1099723,496863654864952,11566428,,5
0,31,1,0,39663897,428340,496863666443260,9984549,,5
0,32,1,0,40105666,767520,496863676438727,15721915,,5
0,33,1,0,40884941,376007,496863692171215,14609116,,5
0,34,1,0,41267623,345032,496863706785450,15297838,,5
0,35,1,0,41622244,324933,496863722090508,14683112,,5
0,36,1,0,41953511,1266532,496863736779539,17653336,,5
0,37,1,0,43245301,656917,496863754455769,4002775,,5
0,38,1,0,43918811,466149,496863758473098,16546888,,5
0,39,1,0,44392893,436803,496863775027318,15691550,,5
0,40,1,0,44837257,766833,496863790725200,14761997,,5
0,41,1,0,45612710,411887,496863805495023,14437450,,5
0,42,1,0,46031822,494544,496863819939304,15910563,,5
0,43,1,0,46542816,787961,496863835865346,17023460,,5
0,44,1,0,47348729,1169495,496863852902302,15675654,,5
0,45,1,0,48531441,1193364,496863868591027,18220754,,5
0,46,1,0,49747458,432018,496863886832506,18201173,,5
0,47,1,0,50188071,1936844,496863905041053,17270152,,5
0,48,1,0,52139364,988434,496863922323970,13385444,,5
0,49,1,0,53136752,1922306,496863935718569,17579673,,5
0,50,1,0,55077639,1363647,496863953314084,15250857,,5
0,51,1,0,56448487,351662,496863968571801,13587000,,5
0,52,1,0,56807369,1762818,496863982165504,18163680,,5
0,53,1,0,58586483,1549279,496864000343916,4794552,,5
0,54,1,0,60162043,1541847,496864005161074,15551348,,5
0,55,1,0,61717226,2561939,496864020722818,8315255,,5
0,56,1,0,64303362,448600,496864029060054,14846919,,5
0,57,1,0,64760767,342803,496864043914399,14527197,,5
0,58,1,0,65110625,370958,496864058447627,14348908,,5
0,59,1,0,65490171,534009,496864072803467,14519594,,5
0,60,1,0,66037366,881622,496864087334737,14600475,,5
0,61,1,0,66925410,820212,496864101941584,14309324,,5
0,62,1,0,67753002,1319144,496864116257036,16579614,,5
0,63,1,0,69084300,379860,496864132847360,15158195,,5
0,64,1,0,69470574,345569,496864148010778,14426604,,5
0,65,1,0,69826136,1398346,496864162445835,15911965,,5
0,66,1,0,71237065,1465421,496864178369450,16784180,,5
0,67,1,0,72731996,1523402,496864195180099,16688188,,5
0,68,1,0,74262847,1207794,496864211873956,16304683,,5
0,69,1,0,75480876,1591917,496864228187256,17032649,,5
0,70,1,0,77095601,1698050,496864245241177,17423438,,5
0,71,1,0,78823003,353942,496864262692275,14580229,,5
0,72,1,0,79185154,1642154,496864277279019,18980345,,5
0,73,1,0,80843870,493693,496864296273803,15559629,,5
0,74,1,0,81346425,1670460,496864311841112,17244983,,5
0,75,1,0,83027747,1189287,496864329096177,16273609,,5
0,76,1,0,84237099,1659148,496864345387546,17336797,,5
0,77,1,0,85905170,1451740,496864362732266,15814244,,5
0,78,1,0,87365267,1271486,496864378554084,16740378,,5
0,79,1,0,88646510,1188481,496864395303456,20261207,,5
0,80,1,0,89845265,430602,496864415575082,11814163,,5
0,81,1,0,90291556,2700747,496864427401936,19237363,,5
0,82,1,0,93008885,2700399,496864446653123,14669798,,5
0,83,1,0,95740612,341075,496864461351708,13045386,,5
0,84,1,0,96088720,361636,496864474402898,15104422,,5
0,85,1,0,96459016,1107185,496864489514815,15875874,,5
0,86,1,0,97575801,301173,496864505398548,13848533,,5
0,87,1,0,97900377,874402,496864519270155,15308016,,5
0,88,1,0,98793949,879759,496864534594299,15540647,,5
0,89,1,0,99689343,382339,496864550147676,15998964,,5
0,90,1,0,100076756,313565,496864566150648,14537266,,5
0,91,1,0,100397466,1340818,496864580693489,15251455,,5
0,92,1,0,101750079,415974,496864595956296,15136165,,5
