#{"version": "3.2", "pandas_kwargs": {"dtype": {"comment": "str"}, "keep_default_na": false, "index_col": [0, 1], "comment": "#"}}
thread_id,frame_id,function_id,caller_frame_id,cpu_time_start,cpu_time,wall_time_start,wall_time,function_name,comment
0,1,1,0,841495,34350,496860833488122,33332,invoke_callbacks,2
0,2,1,0,882556,2333,496860833528102,2392,,2
0,3,1,0,890338,1085,496860833535865,1075,,2
0,4,1,0,896189,894,496860833541710,875,,2
0,5,1,0,904636,1064,496860833550148,1052,,2
0,6,1,0,910227,860,496860833555740,849,,2
0,7,1,0,915530,846,496860833561043,837,,2
0,8,1,0,921003,850,496860833566521,835,,2
0,9,1,0,929896,1162,496860833575460,1098,,2
0,10,1,0,935515,831,496860833581011,835,,2
0,11,1,0,1038771,8297279,496860848729552,22041625,,2
0,12,1,0,9349232,2962,496860870783489,2955,,2
0,13,1,0,9358694,1279,496860870792885,1325,,2
0,14,1,0,9365722,1311,496860870800204,1010,,2
0,15,1,0,9373443,1277,496860870807649,1275,,2
0,16,1,0,9380702,928,496860870814939,897,,2
0,17,1,0,9396478,4144,496860870830955,3890,,2
0,18,1,0,9406387,1216,496860870840889,906,,2
0,19,1,0,9413474,928,496860870847674,923,,2
0,20,1,0,9420478,1251,496860870854725,1228,,2
0,21,1,0,9428180,3454719,496860870862395,30540373,,2
0,22,1,0,12895091,3231,496860901414650,3036,,2
0,23,1,0,12905381,1126,496860901424675,1119,,2
0,24,1,0,12912664,1110,496860901431960,1098,,2
0,25,1,0,12920539,1138,496860901439841,1140,,2
0,26,1,0,12927772,1337,496860901447122,1283,,2
0,27,1,0,12935237,1053,496860901454536,1041,,2
0,28,1,0,12942080,1053,496860901461377,1094,,2
0,29,1,0,12950120,1140,496860901469422,1122,,2
0,30,1,0,12956943,1053,496860901476236,1050,,2
0,31,1,0,12964173,5300574,496860901483467,86107092,,2
0,32,1,0,18286823,2671,496860987612194,2636,,2
0,33,1,0,18352817,6288,496860987682716,6100,,2
0,34,1,0,18367028,1260,496860987696786,1175,,2
0,35,1,0,18373957,1220,496860987703665,1320,,2
