#{"version": "3.2", "pandas_kwargs": {"dtype": {"comment": "str"}, "keep_default_na": false, "index_col": [0, 1], "comment": "#"}}
thread_id,frame_id,function_id,caller_frame_id,cpu_time_start,cpu_time,wall_time_start,wall_time,function_name,comment
0,1,1,0,533172,33880,496860844910801,23815,_p_one_iteration,3
0,2,1,0,736521,3748,496860857464141,2920,,3
0,3,1,0,797837,3017,496860863947613,2876,,3
0,4,1,0,894668,2119,496860879187953,1633,,3
0,5,1,0,1023630,2625,496860890930809,2355,,3
0,6,1,0,1226857,2479,496860902073095,2102,,3
0,7,1,0,1501027,2726,496860915063742,2026,,3
0,8,1,0,1737732,4126,496860928274911,2827,,3
0,9,1,0,2021332,3427,496860941357526,2855,,3
0,10,1,0,2169855,3043,496860952053780,2315,,3
0,11,1,0,2296784,2271,496860962180581,1770,,3
0,12,1,0,2349774,2162,496860969594457,1528,,3
0,13,1,0,2353750,1030,496860969597764,1008,,3
0,14,1,0,2355982,941,496860969599957,951,,3
0,15,1,0,2358088,942,496860969602067,941,,3
0,16,1,0,2367702,1370,496860970677083,1100,,3
0,17,1,0,2412482,10200,496860978079760,9777,,3
0,18,1,0,2471136,1794,496860985499166,1230,,3
0,19,1,0,2564129,2363,496860995228845,1926,,3
0,20,1,0,2686163,4165,496861006923686,2741,,3
0,21,1,0,2846460,3021,496861017032370,2254,,3
0,22,1,0,3064096,4778,496861031144131,2642,,3
0,23,1,0,3175202,2580,496861038633829,2076,,3
0,24,1,0,3179328,1455,496861038637297,1326,,3
0,25,1,0,3182882,940,496861038640702,1242,,3
0,26,1,0,3198409,2025,496861039708239,1457,,3
0,27,1,0,3449232,7308,496861051711197,3979,,3
0,28,1,0,3593043,2260,496861063302063,1872,,3
0,29,1,0,3680151,2539,496861073880214,2081,,3
0,30,1,0,4115720,10897,496861092969520,6447,,3
0,31,1,0,4336622,3753,496861104282325,2306,,3
0,32,1,0,4409131,2793,496861111998415,2326,,3
0,33,1,0,4700976,25336,496861123078358,23854,,3
0,34,1,0,4830624,16369,496861134890827,15906,,3
0,35,1,0,4870414,2624,496861137033372,2223,,3
0,36,1,0,4904293,2439,496861141937418,2035,,3
0,37,1,0,4958899,2887,496861146204892,2001,,3
0,38,1,0,5074221,8930,496861153903734,5026,,3
0,39,1,0,5185197,7002,496861157210194,3644,,3
0,40,1,0,5365093,8383,496861161612656,5433,,3
0,41,1,0,5515469,2762,496861167066503,1884,,3
0,42,1,0,5572488,2465,496861171259309,2397,,3
0,43,1,0,5894425,3542,496861188812002,2905,,3
0,44,1,0,6121888,10852,496861192256013,7543,,3
0,45,1,0,6417793,12520,496861196852363,8037,,3
0,46,1,0,6629291,11881,496861201716741,7997,,3
0,47,1,0,6774926,2582,496861206052507,1804,,3
0,48,1,0,6897688,3250,496861212510939,2001,,3
0,49,1,0,7088419,4883,496861216923454,3961,,3
0,50,1,0,7469682,8645,496861221596477,6065,,3
